pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_met,sy_dist,st_spectype_main,st_spectype_encoded,Habitability_Score,temp_deviance,rad_deviance,Stellar_Compatibility,Is_Habitable
4 UMa b,4 UMa,1.0,1.0,Radial Velocity,2006.0,51.997325585,2.3,191.96932,797.0,0.87,K1 III,4415.0,18.11,1.234,-0.25,73.4603,K,4,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa b,47 UMa,1.0,3.0,Radial Velocity,1996.0,51.997325585,2.3,191.96932,797.0,2.059,G0 V,5829.16,1.136537,1.005192,0.0256,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa b,47 UMa,1.0,3.0,Radial Velocity,1996.0,51.997325585,2.3,191.96932,797.0,2.1,G0 V,5872.0,1.21334,1.06,0.04,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa b,47 UMa,1.0,3.0,Radial Velocity,1996.0,51.997325585,2.3,191.96932,797.0,2.11,G1 V,5613.0,0.951815,0.959,-0.0039,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa b,47 UMa,1.0,3.0,Radial Velocity,1996.0,51.997325585,2.3,191.96932,797.0,2.1,G0 V,5882.0,0.951815,1.063,0.04,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa b,47 UMa,1.0,3.0,Radial Velocity,1996.0,51.997325585,2.3,191.96932,797.0,2.11,G0 V,5613.0,0.951815,0.959,-0.0039,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa c,47 UMa,1.0,3.0,Radial Velocity,2001.0,51.997325585,2.3,191.96932,797.0,3.6,G0 V,5872.0,1.21334,1.06,0.04,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa c,47 UMa,1.0,3.0,Radial Velocity,2001.0,51.997325585,2.3,191.96932,797.0,7.73,G1 V,5613.0,0.951815,0.959,-0.0039,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa c,47 UMa,1.0,3.0,Radial Velocity,2001.0,51.997325585,2.3,191.96932,797.0,3.404,G0 V,5829.16,1.136537,1.005192,0.0256,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa d,47 UMa,1.0,3.0,Radial Velocity,2009.0,51.997325585,2.3,191.96932,797.0,11.6,G0 V,5872.0,1.21334,1.06,0.04,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
47 UMa d,47 UMa,1.0,3.0,Radial Velocity,2009.0,51.997325585,2.3,191.96932,797.0,13.8,G0 V,5829.16,1.136537,1.005192,0.0256,13.7967,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Eri b,51 Eri,3.0,1.0,Imaging,2015.0,10.3392924,2.3,191.96932,700.0,13.2,F0 IV,5613.0,0.951815,1.75,-0.027,29.7575,F,2,0.2680565897244974,1.4305555555555556,1.2999999999999998,0.5,0
