pl_orbper,pl_rade,pl_eqt,st_teff,st_lum,pl_dens,pl_insol,st_met,st_spectype,st_spectral_score,pl_bmasse,sy_dist
18.859019,2.3,797.0,3700.0,-1.04576,3.66,86.27,-0.0014,Unknown,0.0,0,0
18.858982,2.79,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
18.85882,2.3,797.0,3665.0,-0.99,1.307,86.27,0.12,Unknown,0.0,0,0
18.858991,2.3,797.0,5613.0,-0.08124,1.22,86.27,-0.0014,Unknown,0.0,0,0
18.859018,2.3,797.0,3665.0,-0.99,1.307,86.27,0.12,Unknown,0.0,0,0
18.85969,2.52202066,459.0,3678.0,-1.0381,1.307,7.3,0.23,Unknown,0.0,0,0
12.73596,2.3,797.0,3678.0,-1.0381,1.307,86.27,0.23,Unknown,0.0,0,0
33.39,2.3,797.0,3665.0,-0.99,1.307,86.27,0.12,Unknown,0.0,0,0
33.11,2.3,797.0,3665.0,-0.99,1.307,86.27,0.12,Unknown,0.0,0,0
481.9,2.3,797.0,4095.0,2.7,1.307,86.27,-0.71,Unknown,0.0,0,0
1.271869,2.3,1820.0,4596.0,-0.7167,1.307,86.27,-0.05,K,2.0,0,0
268.94,2.3,797.0,5008.0,-0.32,1.307,86.27,0.1,K,2.0,0,0
268.94,2.3,797.0,4864.0,-0.08124,1.307,86.27,0.17,Unknown,0.0,0,0
153.22,2.3,797.0,4649.0,1.57,1.307,86.27,-0.22,Unknown,0.0,0,0
137.48,2.3,797.0,4796.0,2.01,1.307,86.27,0.28,K,2.0,0,0
379.63,2.3,797.0,4137.0,3.17,1.307,86.27,-1.0,K,2.0,0,0
379.63,2.3,797.0,4259.0,-0.08124,1.307,86.27,-0.79,Unknown,0.0,0,0
621.99,2.3,797.0,4137.0,3.17,1.307,86.27,-1.0,K,2.0,0,0
578.2,2.3,797.0,4296.0,1.96,1.307,86.27,-0.46,K,2.0,0,0
41.6855,2.57807,797.0,5766.0,-0.08124,1.307,86.27,-0.15,Unknown,0.0,0,0
41.688644,2.35545351,797.0,5703.0,-0.08124,1.307,86.27,-0.06,Unknown,0.0,0,0
41.6855,2.23,546.0,5766.0,-0.05552,7.89,86.27,-0.15,G,3.0,0,0
1887.76,2.3,797.0,4500.0,2.84,1.307,86.27,-0.03,Unknown,0.0,0,0
