pl_orbper,pl_orbsmax,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_lum,pl_rade,pl_insol,temp_score,radius_score,insol_score,habitability_score,habitability_label
32.940045,0.1591,8.63,254.9,3457.0,0.4445,0.4951,-1.59688,2.61,1.005,0.8850694444444445,0.0,0.9950000000000001,0.6525277777777778,1
4.7369683,0.0526,20.0,969.0,5170.0,0.793,0.865,-0.40782,2.69,146.9,0.0,0.0,0.0,0.0,0
3.2253993,0.0382,6.9,913.0,4491.0,0.682,0.711,-0.73283,1.73,116.2,0.0,0.27,0.0,0.081,0
7.3744897,0.0662,12.4,694.0,4491.0,0.682,0.711,-0.73283,2.85,38.6,0.0,0.0,0.0,0.0,0
2.1748,0.028,8.0,1103.0,4503.0,0.72,0.7,-0.72125,1.75,248.0,0.0,0.25,0.0,0.075,0
2.18053539,0.03558,433.20011874,1828.0,6360.0,1.261,1.263,0.37107,16.19697711,1860.0,0.0,0.0,0.0,0.0,0
20.8851,0.154,21.0,767.0,5743.0,1.21,1.12,0.15836,5.68,60.0,0.0,0.0,0.0,0.0,0
42.3633,0.247,27.0,606.0,5743.0,1.21,1.12,0.15836,7.82,24.0,0.0,0.0,0.0,0.0,0
3.48456408,0.0287,24.5,494.0,3207.0,0.2932,0.2634,-2.08831,3.44,9.91,0.2847222222222222,0.0,0.0,0.11388888888888889,0
11.633478,0.1034,59.75174052,1046.0,5445.0,1.642,1.09,0.32838,9.52763359,180.0,0.0,0.0,0.0,0.0,0
11.633478,0.1087,67.69745069,1030.0,5503.0,1.641,1.266,0.34635,9.50521563,180.0,0.0,0.0,0.0,0.0,0
0.658524,0.01306,11.26782377,1515.0,4285.0,0.703,0.686,-0.82333,3.3,879.5,0.0,0.0,0.0,0.0,0
7.814,0.0679,0.29013072,664.5,4285.0,0.703,0.686,-0.82333,0.705,32.4,0.0,0.705,0.0,0.2115,0
14.697,0.1035,8.9,538.3,4285.0,0.703,0.686,-0.82333,2.93,13.95,0.13090277777777792,0.0,0.0,0.05236111111111117,0
